ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted,Source ID,Source Name,Source Type,Target ID,Target Name,Target Type
4149,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4148,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4147,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4146,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4145,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:51,,,11/15/2016-20:30:51,False,3997,Orin,person,3846,percy,person
4144,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4143,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4142,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4141,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4140,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4139,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4138,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4137,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4136,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
4135,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:30:01,,,11/15/2016-20:30:01,False,4119,whitney,person,4092,Xavier,person
